PartNumber,Inductance_uH,DCR_mOhm,Isat_A,Irms_A,MaxTemp_C,VoltageRating_V,Length_mm,Width_mm,Height_mm,Mounting,AECGrade,Price
XGL6030-822,8.2,40,6.5,7.1,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-822,8.2,16.8,8.1,10.1,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7030-822,8.2,60.94,8.4,5.9,165,60,8,8,3.1,SM,1,$1.06
XGL1060-822,8.2,15,16.9,13.3,165,60,11.8,10.5,6,SM,1,$2.06
XAL1010-822,8.2,12.9,18.3,17.1,165,60,11.8,10.5,10,SM,1,$2.14
XGL1010-822,8.2,9,20,18.7,165,60,11.8,10.5,10,SM,1,$2.14
XGL1313-822,8.2,5.2,25,20.5,165,60,15.2,13.6,13,SM,1,$2.57
XAL1510-822,8.2,7.5,30,24,165,60,16.4,15.4,10,SM,1,$3.14
XGL3530-682,6.8,78.2,2.1,3.65,165,80,3.65,3.35,3,SM,1,$0.67
XGL4020-682,6.8,70,3.4,4.2,165,80,4.3,4.3,2.1,SM,1,$0.63
XGL4025-682,6.8,58.7,3.5,4.5,165,80,4.3,4.3,2.5,SM,1,$0.63
XAL4030-682,6.8,74.1,3.6,3.9,165,60,4.3,4.3,3.1,SM,1,$0.65
XGL4030-682,6.8,47.9,3.65,4.7,165,80,4.3,4.3,3.1,SM,1,$0.65
XEL4030V-682,6.8,74.1,3.6,3.9,165,120,4.3,4.3,3.1,SM,1,$0.73
XEL4030-682,6.8,74.1,3.6,3.9,165,80,4.3,4.3,3.1,SM,1,$0.65
XGL4040-682,6.8,34.7,4,5.6,165,80,4.3,4.3,4.1,SM,1,$0.67
XGL5020-682,6.8,63.5,4.5,4.9,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL5030-682,6.8,32.1,5.5,7.3,165,80,5.68,5.48,3.1,SM,1,$0.99
XEL5050-682,6.8,29.45,6,6.4,165,80,5.68,5.48,5.1,SM,1,$0.85
XGL5050-682,6.8,23.1,6.2,7.5,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL5050-682,6.8,29.45,6,6.4,165,60,5.68,5.48,5.1,SM,1,$0.85
XAL6060-682,6.8,20.8,9.2,9,165,60,6.76,6.56,6.1,SM,1,$0.88
XEL6060-682,6.8,22.9,7.9,9.8,165,80,6.76,6.56,6.1,SM,1,$0.88
XGL6020-682,6.8,49.8,5.1,6.2,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-682,6.8,29.5,7.3,8.2,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-682,6.8,14,8.9,11.5,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7030-682,6.8,51.75,8.7,6.8,165,60,8,8,3.1,SM,1,$1.06
XAL7070-682,6.8,19.62,12.8,9.2,165,60,8,7.7,7,SM,1,$1.28
XAL8080-682,6.8,14.5,14,11.3,165,60,8.8,8.3,8,SM,1,$3.29
XGL1060-682,6.8,12.5,18.4,14.8,165,60,11.8,10.5,6,SM,1,$2.06
XGL1010-682,6.8,7,22,21.2,165,60,11.8,10.5,10,SM,1,$2.14
XAL1010-682,6.8,8.9,21.8,18.5,165,60,11.8,10.5,10,SM,1,$2.14
XGL1313-682,6.8,4.3,26.5,22,165,60,15.2,13.6,13,SM,1,$2.57
XAL1510-682,6.8,4.6,36,26,165,60,16.4,15.4,10,SM,1,$3.14
XAL1580-612,6.1,6.79,31,22.6,165,60,16.4,15.4,8,SM,1,$2.77
XGL3530-562,5.6,62.1,2.4,4.05,165,80,3.65,3.35,3,SM,1,$0.67
XGL4020-562,5.6,53.6,3.7,5.3,165,80,4.3,4.3,2.1,SM,1,$0.63
XGL4025-562,5.6,47.9,3.8,5.1,165,80,4.3,4.3,2.5,SM,1,$0.63
XGL4030-562,5.6,34.7,4.2,5.5,165,80,4.3,4.3,3.1,SM,1,$0.65
XGL5020-562,5.6,52,4.9,5.9,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL5030-562,5.6,27,6,7.9,165,80,5.68,5.48,3.1,SM,1,$0.99
XGL5050-562,5.6,19.7,6.4,8,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL5050-562,5.6,25.8,6.3,7.2,165,60,5.68,5.48,5.1,SM,1,$0.85
XEL5050-562,5.6,24.8,6.6,7.6,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL6060-562,5.6,15.9,9.9,10,165,60,6.76,6.56,6.1,SM,1,$0.88
XGL6020-562,5.6,40.4,5.7,6.3,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-562,5.6,24.1,8.2,8.8,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-562,5.6,11.7,9.6,12.6,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7030-562,5.6,32.32,9.8,7.3,165,60,8,8,3.1,SM,1,$1.06
XAL7070-562,5.6,15.03,13,11.4,165,60,8,7.7,7,SM,1,$1.28
XGL1060-562,5.6,10.1,19.7,16.4,165,60,11.8,10.5,6,SM,1,$2.06
XGL1010-562,5.6,5.9,24,24,165,60,11.8,10.5,10,SM,1,$2.14
XAL1010-562,5.6,6.93,23.6,21.2,165,60,11.8,10.5,10,SM,1,$2.14
XAL1580-532,5.3,5.22,33,26.5,165,60,16.4,15.4,8,SM,1,$2.77
XFL3010-472,4.7,230,1.1,1.1,165,40,3.2,3.2,1.1,SM,1,$0.53
XFL3012-472,4.7,171,1.2,1.4,125,40,3.2,3.2,1.3,SM,3,$0.52
XGL3520-472,4.7,72.6,2.3,4.3,165,80,3.65,3.35,2,SM,1,$0.67
XGL3530-472,4.7,51.2,2.7,4.5,165,80,3.65,3.35,3,SM,1,$0.67
XGL4018-472,4.7,69.4,3.4,4.5,165,80,4.3,4.3,1.8,SM,1,$0.61
XFL4020-472,4.7,57.4,2.7,5,165,20,4.3,4.3,2.1,SM,1,$0.69
XGL4020-472,4.7,47.3,4.1,5.6,165,80,4.3,4.3,2.1,SM,1,$0.63
XGL4025-472,4.7,39.5,4.3,5.4,165,80,4.3,4.3,2.5,SM,1,$0.63
XGL4030-472,4.7,31.5,4.4,6.6,165,80,4.3,4.3,3.1,SM,1,$0.65
XEL4030V-472,4.7,44.1,4.6,5.1,165,120,4.3,4.3,3.1,SM,1,$0.73
XFL4030-472,4.7,30,2.1,7.5,165,20,4.3,4.3,3.1,SM,1,$0.72
XEL4030-472,4.7,44.1,4.6,5.1,165,80,4.3,4.3,3.1,SM,1,$0.65
XAL4030-472,4.7,44.1,4.6,5.1,165,60,4.3,4.3,3.1,SM,1,$0.65
XGL4040-472,4.7,24.5,4.4,7.1,165,80,4.3,4.3,4.1,SM,1,$0.67
XGL5020-472,4.7,41.5,5.3,7.9,165,80,5.68,5.48,2.1,SM,1,$0.75
XAL5030-472,4.7,40,6.7,5.9,165,60,5.68,5.48,3.1,SM,1,$0.99
XFL5030-472,4.7,22,3.3,8.7,165,20,5.68,5.48,3.1,SM,1,$1.09
XGL5030-472,4.7,24.5,6.7,8.5,165,80,5.68,5.48,3.1,SM,1,$0.99
XEL5030-472,4.7,40,6.7,5.9,165,80,5.68,5.48,3.1,SM,1,$0.99
XEL5050-472,4.7,21.5,7.4,8.1,165,80,5.68,5.48,5.1,SM,1,$0.85
XGL5050-472,4.7,16,7,9.7,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL6060-472,4.7,14.4,10.5,11,165,60,6.76,6.56,6.1,SM,1,$0.88
XEL6060-472,4.7,15.02,11.4,12.1,165,80,6.76,6.56,6.1,SM,1,$0.88
XGL6020-472,4.7,33.8,6,7.7,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-472,4.7,21,8.6,10,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-472,4.7,10.1,10.2,13.5,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7030-472,4.7,30,10.1,9,165,60,8,8,3.1,SM,1,$1.06
XAL7070-472,4.7,14.26,15.2,13.6,165,60,8,7.7,7,SM,1,$1.28
XAL8080-472,4.7,9.77,17.4,14.6,165,60,8.8,8.3,8,SM,1,$3.29
XGL1060-472,4.7,8.5,22.5,18.2,165,60,11.8,10.5,6,SM,1,$2.06
XAL1060-472,4.7,10.72,25,14,165,60,11.8,10.5,6,SM,1,$2.06
XGL1010-472,4.7,4.6,29,24.7,165,60,11.8,10.5,10,SM,1,$2.14
XAL1010-472,4.7,5.7,25.4,24,165,60,11.8,10.5,10,SM,1,$2.14
XGL1313-472,4.7,2.8,35,24.3,165,60,15.2,13.6,13,SM,1,$2.57
XAL1510-472,4.7,3.8,39,29,165,60,16.4,15.4,10,SM,1,$3.14
XAL1580-452,4.5,4.58,34.2,27,165,60,16.4,15.4,8,SM,1,$2.77
XFL2010-332,3.3,213,1,1.2,165,40,2.2,2.1,1,SM,1,$0.60
XFL3010-332,3.3,166,1.3,1.2,165,40,3.2,3.2,1.1,SM,1,$0.53
XFL3012-332,3.3,127,1.4,1.6,125,40,3.2,3.2,1.3,SM,3,$0.52
XGL3520-332,3.3,49.4,2.8,5.1,165,80,3.65,3.35,2,SM,1,$0.67
XGL3530-332,3.3,37.4,3.3,5.4,165,80,3.65,3.35,3,SM,1,$0.67
XGL4018-332,3.3,48.1,4,5.2,165,80,4.3,4.3,1.8,SM,1,$0.61
XGL4020-332,3.3,34,4.8,6.6,165,80,4.3,4.3,2.1,SM,1,$0.63
XFL4020-332,3.3,38.3,2.9,5.2,165,20,4.3,4.3,2.1,SM,1,$0.69
XGL4025-332,3.3,27,4.9,6.9,165,80,4.3,4.3,2.5,SM,1,$0.63
XEL4030-332,3.3,28.6,5.9,6.6,165,80,4.3,4.3,3.1,SM,1,$0.65
XAL4030-332,3.3,28.6,5.9,6.6,165,60,4.3,4.3,3.1,SM,1,$0.65
XGL4030-332,3.3,21.9,5.3,7.5,165,80,4.3,4.3,3.1,SM,1,$0.65
XEL4030V-332,3.3,28.6,5.9,6.6,165,120,4.3,4.3,3.1,SM,1,$0.73
XGL4040-332,3.3,16.6,5.5,8.7,165,80,4.3,4.3,4.1,SM,1,$0.67
XFL5018-332,3.3,37,3.4,8,165,20,5.68,5.48,1.8,SM,1,Quote
XGL5020-332,3.3,27,6.5,9.4,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL5030-332,3.3,14.9,8.4,10,165,80,5.68,5.48,3.1,SM,1,$0.99
XEL5030-332,3.3,23.3,8.4,8.1,165,80,5.68,5.48,3.1,SM,1,$0.99
XFL5030-332,3.3,16,4.2,10,165,20,5.68,5.48,3.1,SM,1,$1.09
XAL5030-332,3.3,23.3,8.7,8.1,165,60,5.68,5.48,3.1,SM,1,$0.99
XEL5050-332,3.3,14.6,8.4,10.6,165,80,5.68,5.48,5.1,SM,1,$0.85
XGL5050-332,3.3,11.5,8.6,11.3,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL6030-332,3.3,20.81,12.2,8,165,60,6.76,6.56,3.1,SM,1,$1.06
XEL6030-332,3.3,20.81,10.5,8,165,80,6.76,6.56,3.1,SM,1,$1.06
XGL6020-332,3.3,24.3,7.6,8.8,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-332,3.3,15.4,10.4,10.5,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-332,3.3,6.5,13.4,16.6,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7030-332,3.3,21.45,12.3,10,165,60,8,8,3.1,SM,1,$1.06
XAL7070-332,3.3,9.42,19.4,15.1,165,60,8,7.7,7,SM,1,$1.28
XAL1060-332,3.3,7.92,26,16.8,165,60,11.8,10.5,6,SM,1,$2.06
XGL1060-332,3.3,5.7,26,22,165,60,11.8,10.5,6,SM,1,$2.06
XGL1010-332,3.3,3.7,34,26,165,60,11.8,10.5,10,SM,1,$2.14
XAL1010-332,3.3,4.1,27.4,25,165,60,11.8,10.5,10,SM,1,$2.14
XGL1313-332,3.3,2.3,40,25.6,165,60,15.2,13.6,13,SM,1,$2.57
XFL4030-302,3,20.5,2.2,8,165,20,4.3,4.3,3.1,SM,1,$0.72
XAL1350-302,3,6.8,37,21,165,60,14.2,13.2,5,SM,1,$3.02
XAL1580-302,3,3.1,43,34.4,165,60,16.4,15.4,8,SM,1,$2.77
XGL5050-282,2.8,9.8,9.8,12.4,165,80,5.68,5.48,5.1,SM,1,$0.85
XGL4015-272,2.7,48.8,4.5,5.1,165,80,4.3,4.3,1.5,SM,1,$0.61
XEL6060-272,2.7,7.63,13.8,17,165,80,6.76,6.56,6.1,SM,1,$0.88
XAL7030-272,2.7,17.3,12.8,11.4,165,60,8,8,3.1,SM,1,$1.06
XGL1060-272,2.7,4.9,29,23.2,165,60,11.8,10.5,6,SM,1,$2.06
XFL2010-222,2.2,156,1.25,1.35,165,40,2.2,2.1,1,SM,1,$0.60
XFL3010-222,2.2,122,1.5,1.3,165,40,3.2,3.2,1.1,SM,1,$0.53
XFL3012-222,2.2,97,1.6,1.9,125,40,3.2,3.2,1.3,SM,3,$0.52
XGL3515-222,2.2,46.7,3.2,5.1,165,80,3.65,3.35,1.5,SM,1,$0.61
XGL3520-222,2.2,31.8,3.7,6,165,80,3.65,3.35,2,SM,1,$0.67
XGL3530-222,2.2,23,4,7.2,165,80,3.65,3.35,3,SM,1,$0.67
XGL4015-222,2.2,36,4.9,6.1,165,80,4.3,4.3,1.5,SM,1,$0.61
XGL4018-222,2.2,31.1,5,6.8,165,80,4.3,4.3,1.8,SM,1,$0.61
XGL4020-222,2.2,21.5,6.2,8.9,165,80,4.3,4.3,2.1,SM,1,$0.63
XEL4020-222,2.2,38.7,5.9,5.5,165,80,4.3,4.3,2.1,SM,1,$0.63
XEL4020V-222,2.2,38.7,5.9,5.5,165,120,4.3,4.3,2.1,SM,1,$0.71
XFL4020-222,2.2,23.5,3.7,8,165,20,4.3,4.3,2.1,SM,1,$0.69
XAL4020-222,2.2,38.7,5.6,5.5,165,60,4.3,4.3,2.1,SM,1,$0.63
XGL4025-222,2.2,16.9,6.3,9,165,80,4.3,4.3,2.5,SM,1,$0.63
XEL4030-222,2.2,22.1,6.1,7.8,165,80,4.3,4.3,3.1,SM,1,$0.65
XEL4030V-222,2.2,22.1,6.1,7.8,165,120,4.3,4.3,3.1,SM,1,$0.73
XGL4030-222,2.2,15,7,8.7,165,80,4.3,4.3,3.1,SM,1,$0.65
XGL4040-222,2.2,11.5,6.4,11,165,80,4.3,4.3,4.1,SM,1,$0.67
XFL5018-222,2.2,24.5,4.5,9.2,165,20,5.68,5.48,1.8,SM,1,Quote
XGL5020-222,2.2,18.8,7.6,10.7,165,80,5.68,5.48,2.1,SM,1,$0.75
XEL5030-222,2.2,14.5,10.5,9.7,165,80,5.68,5.48,3.1,SM,1,$0.99
XAL5030-222,2.2,14.5,9.2,9.7,165,60,5.68,5.48,3.1,SM,1,$0.99
XGL5030-222,2.2,10.6,9.4,12.9,165,80,5.68,5.48,3.1,SM,1,$0.99
XFL5030-222,2.2,12,4.3,11.5,165,20,5.68,5.48,3.1,SM,1,$1.09
XGL5050-222,2.2,8.2,10.7,13.8,165,80,5.68,5.48,5.1,SM,1,$0.85
XEL5050-222,2.2,12.43,9.5,12.1,165,80,5.68,5.48,5.2,SM,1,$0.85
XAL6030-222,2.2,13.97,15.9,10,165,60,6.76,6.56,3.1,SM,1,$1.06
XEL6030-222,2.2,13.97,13,10,165,80,6.76,6.56,3.1,SM,1,$1.06
XEL6060-222,2.2,6.7,16,18.1,165,80,6.76,6.56,6.1,SM,1,$0.88
XGL6020-222,2.2,16.1,8.8,11.4,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-222,2.2,10.3,12.2,12,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-222,2.2,4.8,16,17.2,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7020-222,2.2,31.6,13.6,7,165,60,8,8,2,SM,1,$0.83
XAL7030-222,2.2,15.07,18,12.9,165,60,8,8,3.1,SM,1,$1.06
XAL7070-222,2.2,6.33,19.6,17.8,165,60,8,7.7,7,SM,1,$1.28
XAL8080-222,2.2,4.49,24,21.5,165,60,8.8,8.3,8,SM,1,$3.29
XAL1060-222,2.2,4.95,32,20,165,60,11.8,10.5,6,SM,1,$2.06
XGL1060-222,2.2,4.3,31,25.3,165,60,11.8,10.5,6,SM,1,$2.06
XGL1010-222,2.2,2.6,36,33,165,60,11.8,10.5,10,SM,1,$2.14
XAL1010-222,2.2,2.8,34,32,165,60,11.8,10.5,10,SM,1,$2.14
XAL1350-222,2.2,4.8,46,24,165,60,14.2,13.2,5,SM,1,$3.02
XGL1313-222,2.2,1.6,46,28.5,165,60,15.2,13.6,13,SM,1,$2.57
XFL4030-202,2,11.5,3,11.8,165,20,4.3,4.3,3.1,SM,1,$0.72
XAL1580-202,2,2.29,51,39.9,165,60,16.4,15.4,8,SM,1,$2.77
XGL3515-182,1.8,41.6,3.3,5.4,165,80,3.65,3.35,1.5,SM,1,$0.61
XGL3520-182,1.8,27.8,4,6.6,165,80,3.65,3.35,2,SM,1,$0.67
XGL4025-182,1.8,14.5,6.8,9.7,165,80,4.3,4.3,2.5,SM,1,$0.63
XGL5020-182,1.8,16.5,8.3,11.7,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL5030-182,1.8,8.7,10.6,14.1,165,80,5.68,5.48,3.1,SM,1,$0.99
XGL5050-182,1.8,7.8,11.1,15.3,165,80,5.68,5.48,5.1,SM,1,$0.85
XEL5050-182,1.8,9.34,12.8,14.4,165,80,5.68,5.48,5.2,SM,1,$0.85
XAL6030-182,1.8,10.52,18.2,14,165,60,6.76,6.56,3.1,SM,1,$1.06
XGL6030-182,1.8,8.9,13,13,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-182,1.8,4.3,16.9,19.7,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7070-182,1.8,4.46,25,21,165,60,8,7.7,7,SM,1,$1.28
XGL1060-182,1.8,3.2,35,28.2,165,60,11.8,10.5,6,SM,1,$2.06
XAL1580-182,1.8,1.93,57,43.8,165,60,16.4,15.4,8,SM,1,$2.77
XFL2010-152,1.5,115,1.45,1.55,165,40,2.2,2.1,1,SM,1,$0.60
XFL3010-152,1.5,80,1.9,1.9,165,40,3.2,3.2,1.1,SM,1,$0.53
XFL3012-152,1.5,72,2.2,2.2,125,40,3.2,3.2,1.3,SM,3,$0.52
XGL3515-152,1.5,36.3,3.9,6.1,165,80,3.65,3.35,1.5,SM,1,$0.61
XGL3520-152,1.5,22.8,4.1,7.8,165,80,3.65,3.35,2,SM,1,$0.67
XGL3530-152,1.5,15.3,5.2,8.8,165,80,3.65,3.35,3,SM,1,$0.67
XGL4015-152,1.5,23.6,6.3,7.1,165,80,4.3,4.3,1.5,SM,1,$0.61
XGL4018-152,1.5,20.8,6.4,8.2,165,80,4.3,4.3,1.8,SM,1,$0.61
XFL4020-152,1.5,15.8,4.6,9.1,165,20,4.3,4.3,2.1,SM,1,$0.69
XAL4020-152,1.5,23.6,7.1,7.5,165,60,4.3,4.3,2.1,SM,1,$0.63
XGL4020-152,1.5,14.3,7.5,11.1,165,80,4.3,4.3,2.1,SM,1,$0.63
XEL4020-152,1.5,23.6,7.4,7.5,165,80,4.3,4.3,2.1,SM,1,$0.63
XEL4020V-152,1.5,23.6,7.4,7.5,165,120,4.3,4.3,2.1,SM,1,$0.71
XGL4025-152,1.5,12,7.6,11,165,80,4.3,4.3,2.5,SM,1,$0.63
XEL4030V-152,1.5,16.6,8.5,8.1,165,120,4.3,4.3,3.1,SM,1,$0.73
XGL4030-152,1.5,10.5,8.8,10.2,165,80,4.3,4.3,3.1,SM,1,$0.65
XEL4030-152,1.5,16.6,8.5,8.1,165,80,4.3,4.3,3.1,SM,1,$0.65
XGL4040-152,1.5,7.9,7.9,12.5,165,80,4.3,4.3,4.1,SM,1,$0.67
XFL5015-152,1.5,20.1,5.8,8,165,20,5.68,5.48,1.5,SM,1,$0.73
XGL5020-152,1.5,13.2,8.9,12.8,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL5030-152,1.5,7.9,12.2,15.4,165,80,5.68,5.48,3.1,SM,1,$0.99
XEL5030-152,1.5,11.9,15,12.2,165,80,5.68,5.48,3.1,SM,1,$0.99
XGL5050-152,1.5,5.7,13.1,17.1,165,80,5.68,5.48,5.1,SM,1,$0.85
XEL6030-152,1.5,10.52,15,14,165,80,6.76,6.56,3.1,SM,1,$1.06
XEL6060-152,1.5,4.71,19,21.6,165,80,6.76,6.56,6.1,SM,1,$0.88
XGL6020-152,1.5,11,11.4,12,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-152,1.5,7.3,14.5,15,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-152,1.5,3.8,18.3,20.2,165,80,6.91,6.71,6.1,SM,1,$0.88
XFL7015-152,1.5,22.6,6.6,8,165,20,8,8,1.5,SM,1,$1.21
XAL7020-152,1.5,19.3,15,9,165,60,8,8,2,SM,1,$0.83
XAL7030-152,1.5,8.36,23.5,15,165,60,8,8,3.1,SM,1,$1.06
XAL1060-152,1.5,3.3,36,24.4,165,60,11.8,10.5,6,SM,1,$2.06
XGL1060-152,1.5,2.8,40,31.3,165,60,11.8,10.5,6,SM,1,$2.06
XGL1010-152,1.5,1.7,45,40.7,165,60,11.8,10.5,10,SM,1,$2.14
XAL1010-152,1.5,1.76,36.6,40.5,165,60,11.8,10.5,10,SM,1,$2.14
XGL1313-152,1.5,1.2,53,29.7,165,60,15.2,13.6,13,SM,1,$2.57
XAL1350-132,1.3,2.7,56,32,165,60,14.2,13.2,5,SM,1,$3.02
XAL1580-132,1.3,1.38,65,46.7,165,60,16.4,15.4,8,SM,1,$2.77
XGL3512-122,1.2,37.4,4.1,5.9,165,80,3.65,3.35,1.2,SM,1,$0.61
XGL3515-122,1.2,27.2,4.3,6.8,165,80,3.65,3.35,1.5,SM,1,$0.61
XGL3520-122,1.2,18.2,4.7,8.6,165,80,3.65,3.35,2,SM,1,$0.67
XEL3520-122,1.2,40.25,4.8,5.2,165,80,3.65,3.35,2,SM,1,$0.67
XGL3530-122,1.2,12.8,5.6,10.4,165,80,3.65,3.35,3,SM,1,$0.67
XEL3530-122,1.2,20.5,5.2,6,165,80,3.65,3.35,3,SM,1,$0.67
XGL4012-122,1.2,35.3,6,6.6,165,80,4.3,4.3,1.2,SM,1,$0.58
XFL4015-122,1.2,20.7,4.5,7.1,165,20,4.3,4.3,1.6,SM,1,$0.67
XAL4020-122,1.2,19.5,7.9,9,165,60,4.3,4.3,2.1,SM,1,$0.63
XEL4020V-122,1.2,19.5,8.1,9,165,120,4.3,4.3,2.1,SM,1,$0.71
XEL4020-122,1.2,19.5,8.1,9,165,80,4.3,4.3,2.1,SM,1,$0.63
XGL4025-122,1.2,10,8.2,11.3,165,80,4.3,4.3,2.5,SM,1,$0.63
XEL4030-122,1.2,11.5,8.7,9.8,165,80,4.3,4.3,3.1,SM,1,$0.65
XEL4030V-122,1.2,11.5,8.7,9.8,165,120,4.3,4.3,3.1,SM,1,$0.73
XGL4030-122,1.2,9.4,9.2,12.2,165,80,4.3,4.3,3.1,SM,1,$0.65
XFL5015-122,1.2,16.6,6.1,9.2,165,20,5.68,5.48,1.5,SM,1,$0.73
XAL5020-122,1.2,20.5,9.5,9.4,165,60,5.68,5.48,2,SM,1,$0.75
XGL5020-122,1.2,10.3,10,13.3,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL5030-122,1.2,6,13,16.8,165,80,5.68,5.48,3.1,SM,1,$0.99
XAL5030-122,1.2,12.4,12.5,10.4,165,60,5.68,5.48,3.1,SM,1,$0.99
XEL5030-122,1.2,10.5,15.3,14.4,165,80,5.68,5.48,3.1,SM,1,$0.99
XGL5050-122,1.2,4.6,15.1,20.1,165,80,5.68,5.48,5.1,SM,1,$0.85
XEL5050-122,1.2,6.48,15.2,17.3,165,80,5.68,5.48,5.3,SM,1,$0.85
XAL6030-122,1.2,7.5,22,16,165,60,6.76,6.56,3.1,SM,1,$1.06
XGL6030-122,1.2,5.4,17.3,16.5,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-122,1.2,3.4,20.5,21.5,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7020-122,1.2,12.8,17.6,10,165,60,8,8,2,SM,1,$0.83
XAL7070-122,1.2,3.41,31.2,21.6,165,60,8,7.7,7,SM,1,$1.28
XAL1060-122,1.2,2.75,43,26.3,165,60,11.8,10.5,6,SM,1,$2.06
XGL1010-122,1.2,1.4,50,41.5,165,60,11.8,10.5,10,SM,1,$2.14
XEL3520-112,1.1,36.25,5,5.4,165,80,3.65,3.35,2,SM,1,$0.67
XAL6020-112,1.1,13.1,17.1,12,165,60,6.76,6.56,2.1,SM,1,$0.77
XFL2006-102,1,169,1.2,1.22,125,40,2.2,2.1,0.6,SM,-,$0.51
XFL2010-102,1,83,1.68,1.8,165,40,2.2,2.1,1,SM,1,$0.60
XFL3010-102,1,49,2.4,2.3,165,40,3.2,3.2,1.1,SM,1,$0.53
XFL3012-102,1,46,2.3,2.6,125,40,3.2,3.2,1.3,SM,3,$0.52
XGL3512-102,1,32.2,4.5,6.6,165,80,3.65,3.35,1.2,SM,1,$0.61
XGL3515-102,1,21.3,4.9,7.9,165,80,3.65,3.35,1.5,SM,1,$0.61
XGL3520-102,1,14.8,5.4,10.1,165,80,3.65,3.35,2,SM,1,$0.67
XGL3530-102,1,10.5,6.2,11.7,165,80,3.65,3.35,3,SM,1,$0.67
XGL4012-102,1,29.9,6.6,7,165,80,4.3,4.3,1.2,SM,1,$0.58
XGL4015-102,1,18,7.3,8.9,165,80,4.3,4.3,1.5,SM,1,$0.61
XGL4018-102,1,12.9,7.8,10.4,165,80,4.3,4.3,1.8,SM,1,$0.61
XAL4020-102,1,14.6,8.7,9.6,165,60,4.3,4.3,2.1,SM,1,$0.63
XEL4020V-102,1,14.6,9,9.6,165,120,4.3,4.3,2.1,SM,1,$0.71
XFL4020-102,1,11.9,5.4,11,165,20,4.3,4.3,2.1,SM,1,$0.69
XEL4020-102,1,14.6,9,9.6,165,80,4.3,4.3,2.1,SM,1,$0.63
XGL4020-102,1,9,8.8,12,165,80,4.3,4.3,2.1,SM,1,$0.63
XGL4025-102,1,8.5,8.9,13.1,165,80,4.3,4.3,2.5,SM,1,$0.63
XEL4030V-102,1,9.78,9,10.7,165,120,4.3,4.3,3.1,SM,1,$0.73
XFL4030-102,1,6.6,4.1,14.5,165,20,4.3,4.3,3.1,SM,1,$0.72
XEL4030-102,1,9.78,9,10.7,165,80,4.3,4.3,3.1,SM,1,$0.65
XGL4030-102,1,7.2,10.3,13,165,80,4.3,4.3,3.1,SM,1,$0.65
XGL4040-102,1,5.6,9.3,14.8,165,80,4.3,4.3,4.1,SM,1,$0.67
XEL5020-102,1,14.5,12.4,9.6,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL5020-102,1,8.7,11.4,15,165,80,5.68,5.48,2.1,SM,1,$0.75
XAL5030-102,1,9.4,14,11.1,165,60,5.68,5.48,3.1,SM,1,$0.99
XGL5030-102,1,5.8,14,17.8,165,80,5.68,5.48,3.1,SM,1,$0.99
XFL5030-102,1,5,6.5,18,165,20,5.68,5.48,3.1,SM,1,$1.09
XEL5030-102,1,8.4,16.9,15.4,165,80,5.68,5.48,3.1,SM,1,$0.99
XGL5050-102,1,3.9,15.4,21,165,80,5.68,5.48,5.1,SM,1,$0.85
XFL6012-102,1,25.2,8,8,165,20,6.76,6.56,1.2,SM,1,$1.13
XEL6030-102,1,6.95,18,16,165,80,6.76,6.56,3.1,SM,1,$1.06
XAL6030-102,1,6.18,23,18,165,60,6.76,6.56,3.1,SM,1,$1.06
