PartNumber,Inductance_uH,DCR_mOhm,Isat_A,Irms_A,MaxTemp_C,VoltageRating_V,Length_mm,Width_mm,Height_mm,Mounting,AECGrade,Price
XGL5020-331,0.33,3.2,18.8,24.4,165,80,5.68,5.48,2.1,SM,1,$0.75
XAL5030-331,0.33,3.52,26,19.2,165,60,5.68,5.48,3.1,SM,1,$0.99
XGL5050-331,0.33,2,23.5,24.6,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL6030-331,0.33,2.53,30,25,165,60,6.76,6.56,3.1,SM,1,$1.06
XEL6060-331,0.33,2.2,30,31.8,165,80,6.76,6.56,6.1,SM,1,$0.88
XGL6020-331,0.33,3.1,25,23.7,165,80,6.91,6.71,2.1,SM,1,$0.77
XAL7020-331,0.33,5.2,28,20,165,60,8,8,2,SM,1,$0.83
XGL3520-301,0.3,4.8,9.7,19.1,165,80,3.65,3.35,2,SM,1,$0.67
XEL3530-301,0.3,6,9.2,15.3,165,80,3.65,3.35,3,SM,1,$0.67
XGL4015-301,0.3,5.7,12.9,15.3,165,80,4.3,4.3,1.5,SM,1,$0.61
XGL4030-301,0.3,2.9,17,24,165,80,4.3,4.3,3.1,SM,1,$0.65
XEL4030V-301,0.3,3.1,19,18.9,165,120,4.3,4.3,3.2,SM,1,$0.73
XEL4030-301,0.3,3.1,19,18.9,165,80,4.3,4.3,3.2,SM,1,$0.65
XGL4040-301,0.3,2.6,15.3,24.6,165,80,4.3,4.3,4.1,SM,1,$0.67
XAL7030-301,0.3,1.92,41,27.6,165,60,8,8,3.1,SM,1,$1.06
XAL7070-301,0.3,1.17,55.6,33.4,165,60,8,7.7,7,SM,1,$1.28
XAL1030-301,0.3,1.7,68,35,165,60,11.8,10.5,3.1,SM,1,$1.65
XEL5050-281,0.28,2.64,28,30.1,165,80,5.68,5.48,5.3,SM,1,$0.85
XEL6030-281,0.28,2.35,38,26.7,165,80,6.76,6.56,3.2,SM,1,$1.06
XGL4018-271,0.27,4,14.7,18.4,165,80,4.3,4.3,1.8,SM,1,$0.61
XGL4030-271,0.27,2.4,19.3,24.2,165,80,4.3,4.3,3.1,SM,1,$0.65
XFL5030-271,0.27,2.55,11.5,25.5,165,20,5.68,5.48,3.1,SM,1,$1.09
XAL6020-271,0.27,3.85,29.5,25,165,60,6.76,6.56,2.1,SM,1,$0.77
XAL7020-271,0.27,3.8,30,21,165,60,8,8,2,SM,1,$0.83
XGL1010-271,0.27,0.57,117,54,165,60,11.8,10.5,10,SM,1,$2.14
XEL5030-261,0.26,2.6,31,30.5,165,80,5.68,5.48,3.2,SM,1,$0.99
XFL4012-251,0.25,8.4,9.7,11.45,165,20,4.3,4.3,1.2,SM,1,$0.64
XGL4020-251,0.25,3,16.5,24,165,80,4.3,4.3,2.1,SM,1,$0.63
XFL7015-251,0.25,4.3,14.5,20,165,20,8,8,1.5,SM,1,$1.21
XFL4020-241,0.24,2.7,10.2,20,165,20,4.3,4.3,2.1,SM,1,$0.69
XGL4025-241,0.24,2.4,18.2,24.2,165,80,4.3,4.3,2.5,SM,1,$0.63
XEL3530-231,0.23,4.85,10.6,17.2,165,80,3.65,3.35,3,SM,1,$0.67
XFL2005-221,0.22,128,1.5,1.48,125,40,2.2,2.1,0.5,SM,-,$0.63
XFL2010-221,0.22,25,3.75,3.1,165,40,2.2,2.1,1,SM,1,$0.60
XGL3515-221,0.22,5.6,11.1,16.1,165,80,3.65,3.35,1.5,SM,1,$0.61
XEL3515-221,0.22,8.6,10,12.7,165,80,3.65,3.35,1.5,SM,1,$0.61
XEL4012-221,0.22,10.6,16,9,165,120,4.3,4.3,1.2,SM,1,$0.58
XEL4012V-221,0.22,10.6,16,9,165,120,4.3,4.3,1.2,SM,1,$0.65
XGL4012-221,0.22,6,14.4,14.7,165,80,4.3,4.3,1.2,SM,1,$0.58
XEL4014V-221,0.22,9.5,18.2,12,165,120,4.3,4.3,1.4,SM,1,$0.65
XEL4014-221,0.22,9.5,18.2,12,165,120,4.3,4.3,1.4,SM,1,$0.58
XGL4015-221,0.22,4.1,15.2,18,165,80,4.3,4.3,1.5,SM,1,$0.61
XGL4018-221,0.22,3.2,16.1,21.7,165,80,4.3,4.3,1.8,SM,1,$0.61
XAL4020-221,0.22,6.4,18.7,16.8,165,60,4.3,4.3,2.1,SM,1,$0.63
XFL5015-221,0.22,4.83,13.3,16.2,165,20,5.68,5.48,1.5,SM,1,$0.73
XEL5020-221,0.22,4.05,28,21,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL6030-221,0.22,1.5,39,32,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-221,0.22,1.3,38,29,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL1010-221,0.22,0.5,98.8,55.5,165,60,11.8,10.5,10,SM,1,$2.14
XGL3512-201,0.2,7.3,10,15.2,165,80,3.65,3.35,1.2,SM,1,$0.61
XEL3520-201,0.2,5.65,11.8,19.9,165,80,3.65,3.35,2,SM,1,$0.67
XGL3520-201,0.2,3.7,11.4,22.1,165,80,3.65,3.35,2,SM,1,$0.67
XGL3530-201,0.2,3.5,11.8,22.4,165,80,3.65,3.35,3,SM,1,$0.67
XEL4020V-201,0.2,3.35,19.7,17.2,165,120,4.3,4.3,2.1,SM,1,$0.71
XEL4020-201,0.2,3.35,19.7,17.2,165,80,4.3,4.3,2.1,SM,1,$0.63
XEL4030V-201,0.2,2.4,22,21.6,165,120,4.3,4.3,3.2,SM,1,$0.73
XEL4030-201,0.2,2.4,22,21.6,165,80,4.3,4.3,3.2,SM,1,$0.65
XGL3515-181,0.18,4.1,12.4,20.4,165,80,3.65,3.35,1.5,SM,1,$0.61
XFL4015-181,0.18,4.7,8.5,14.5,165,20,4.3,4.3,1.6,SM,1,$0.67
